Nombre,Nombre_empresa,Nombres,Primer_apellido,Segundo_apellido
LUIS FELIPE SILVA SALINERO,FINMAS CORREDORES DE BOLSA DE PRODUCTOS S.A.,LUIS FELIPE,SILVA,SALINERO
GERARDO PEREZ JARPA,FINMAS CORREDORES DE BOLSA DE PRODUCTOS S.A.,GERARDO,PEREZ,JARPA
JOSE MANUEL DEL RIO SANCHEZ,FINMAS CORREDORES DE BOLSA DE PRODUCTOS S.A.,JOSE MANUEL,DEL RIO,SANCHEZ
SEBASTIAN GARCIA RENCORET,FINMAS CORREDORES DE BOLSA DE PRODUCTOS S.A.,SEBASTIAN,GARCIA,RENCORET
ANTONIO GALLART GABAS,CGE GAS NATURAL S.A.,ANTONIO,GALLART,GABAS
CARLOS ALVAREZ FERNANDEZ,CGE GAS NATURAL S.A.,CARLOS,ALVAREZ,FERNANDEZ
RITA RUIZ DE ALDA IPARRAGUIRRE,CGE GAS NATURAL S.A.,RITA,RUIZ DE ALDA,IPARRAGUIRRE
CARLOS J ALVAREZ FERNANDEZ,CGE GAS NATURAL S.A.,CARLOS J,ALVAREZ,FERNANDEZ
MANUEL GARCIA COBALEDA,CGE GAS NATURAL S.A.,MANUEL,GARCIA,COBALEDA
LUIS ZARAUZA QUIROS,CGE GAS NATURAL S.A.,LUIS,ZARAUZA,QUIROS
RAMON TREPAT FONT,CGE GAS NATURAL S.A.,RAMON,TREPAT,FONT
JOSE LUIS GIL SANCHEZ,CGE GAS NATURAL S.A.,JOSE LUIS,GIL,SANCHEZ
MARIA DEL VALLE HIGUERAS RABADAN,CGE GAS NATURAL S.A.,MARIA DEL VALLE,HIGUERAS,RABADAN
EDUARDO RAFAEL MORANDE MONTT,CGE GAS NATURAL S.A.,EDUARDO RAFAEL,MORANDE,MONTT
JOSE ENRIQUE AUFFRAY GARCIA,CGE GAS NATURAL S.A.,JOSE ENRIQUE,AUFFRAY,GARCIA
INIGO SOTA YUSTA,CGE GAS NATURAL S.A.,INIGO,SOTA,YUSTA
ALFREDO REYES VALDERRAMA,MONEDA CORREDORES DE BOLSA LIMITADA,ALFREDO,REYES,VALDERRAMA
CRISTIAN URETA PORTALES,MONEDA CORREDORES DE BOLSA LIMITADA,CRISTIAN,URETA,PORTALES
PAOLA PACHECO MUNOZ,MONEDA CORREDORES DE BOLSA LIMITADA,PAOLA,PACHECO,MUNOZ
CARLOS SERRANO ZEGERS,MONEDA CORREDORES DE BOLSA LIMITADA,CARLOS,SERRANO,ZEGERS
JUAN MATIAS IZQUIERDO BACARREZA,MONEDA CORREDORES DE BOLSA LIMITADA,JUAN MATIAS,IZQUIERDO,BACARREZA
SORAYA POBLETE OYARCE,MONEDA CORREDORES DE BOLSA LIMITADA,SORAYA,POBLETE,OYARCE
MARIA DE LA LUZ PUELMA ALLENDE,MONEDA CORREDORES DE BOLSA LIMITADA,MARIA DE LA LUZ,PUELMA,ALLENDE
FERNANDO DURAN DEL FIERRO,MONEDA CORREDORES DE BOLSA LIMITADA,FERNANDO,DURAN,DEL FIERRO
LUIS RAIMUNDO REYES OLIVARES,MONEDA CORREDORES DE BOLSA LIMITADA,LUIS RAIMUNDO,REYES,OLIVARES
CRISTIAN BULNES ALAMOS,TANNER ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.,CRISTIAN,BULNES,ALAMOS
PABLO ANDRES DIEZ TORRES,TANNER ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.,PABLO ANDRES,DIEZ,TORRES
JOSE MANUEL GONZALEZ AGUIRRE,TANNER ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.,JOSE MANUEL,GONZALEZ,AGUIRRE
ROBERTO BARAONA UNDURRAGA,TANNER ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.,ROBERTO,BARAONA,UNDURRAGA
LUIS FELIPE MASSU HEIREMANS,TANNER ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.,LUIS FELIPE,MASSU,HEIREMANS
MIGUEL LUIS LEON NUNEZ,TANNER ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.,MIGUEL LUIS,LEON,NUNEZ
DIEGO SEBASTIAN MATURANA STREETER,TANNER ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.,DIEGO SEBASTIAN,MATURANA,STREETER
DIEGO FLEISCHMANN CHADWICK,TANNER ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.,DIEGO,FLEISCHMANN,CHADWICK
JORGE MANUEL MORGADO ASTORQUIZA,TANNER ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.,JORGE MANUEL,MORGADO,ASTORQUIZA
JUAN PABLO CARRENO CEA,TANNER ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.,JUAN PABLO,CARRENO,CEA
MICHAEL MARK CLARK VARELA,TANNER ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.,MICHAEL MARK,CLARK,VARELA
JULIAN IGNACIO QUIROGA SUBIABRE,TANNER ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.,JULIAN IGNACIO,QUIROGA,SUBIABRE
JOSE ALBERTO BURGUENO MERINO,TANNER ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.,JOSE ALBERTO,BURGUENO,MERINO
VERONICA DANIELA CROVETTO HARTMANN,TANNER ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.,VERONICA DANIELA,CROVETTO,HARTMANN
MOISES ARMANDO REYES MARTINEZ,TANNER ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.,MOISES ARMANDO,REYES,MARTINEZ
JOSE RAMON GUTIERREZ ARRIVILLAGA,MULTIEXPORT FOODS S.A.,JOSE RAMON,GUTIERREZ,ARRIVILLAGA
MARTIN JOSE BORDA MINGO,MULTIEXPORT FOODS S.A.,MARTIN JOSE,BORDA,MINGO
CARLOS ENRIQUE PUCCI LABATUT,MULTIEXPORT FOODS S.A.,CARLOS ENRIQUE,PUCCI,LABATUT
RODRIGO PEREZ MACKENNA,MULTIEXPORT FOODS S.A.,RODRIGO,PEREZ,MACKENNA
ALBERTO GERMAN DEL PEDREGAL LABBE,MULTIEXPORT FOODS S.A.,ALBERTO GERMAN,DEL PEDREGAL,LABBE
ELKE RENATE SCHWARZ KUSCH,MULTIEXPORT FOODS S.A.,ELKE RENATE,SCHWARZ,KUSCH
HERNAN SALVADOR GOYANES GARCIA,MULTIEXPORT FOODS S.A.,HERNAN SALVADOR,GOYANES,GARCIA
CESAR JORGE BARROS MONTERO,MULTIEXPORT FOODS S.A.,CESAR JORGE,BARROS,MONTERO
PABLO RUBEN BASCUNAN SERRANO,MULTIEXPORT FOODS S.A.,PABLO RUBEN,BASCUNAN,SERRANO
MIGUEL CRISTOBAL BORDA MINGO,MULTIEXPORT FOODS S.A.,MIGUEL CRISTOBAL,BORDA,MINGO
JUAN PABLO SANTA CRUZ NEGRI,AD RETAIL S.A.,JUAN PABLO,SANTA CRUZ,NEGRI
PABLO TURNER GONZALEZ,AD RETAIL S.A.,PABLO,TURNER,GONZALEZ
JAIME FERNANDO SANTA CRUZ NEGRI,AD RETAIL S.A.,JAIME FERNANDO,SANTA CRUZ,NEGRI
PABLO ARTURO GUERRERO PONCE,AD RETAIL S.A.,PABLO ARTURO,GUERRERO,PONCE
ANDRES COOD VERGARA,AD RETAIL S.A.,ANDRES COOD,VERGARA,
CRISTIAN NEELY BARBIERI,AD RETAIL S.A.,CRISTIAN,NEELY,BARBIERI
FRESIA MARGARITA HANCKES ESTEFAN,AD RETAIL S.A.,FRESIA MARGARITA,HANCKES,ESTEFAN
JUAN MANUEL SANTA CRUZ MUNIZAGA,AD RETAIL S.A.,JUAN MANUEL,SANTA CRUZ,MUNIZAGA
AGUSTIN ALBERTO SOLARI ALVAREZ,AD RETAIL S.A.,AGUSTIN ALBERTO,SOLARI,ALVAREZ
ALFREDO GUARDIOLA CARRERE,AD RETAIL S.A.,ALFREDO,GUARDIOLA,CARRERE
ROBERTO PIRIZ SIMONETTI,AD RETAIL S.A.,ROBERTO,PIRIZ,SIMONETTI
DIEGO VIDAL SANCHEZ,AD RETAIL S.A.,DIEGO VIDAL,SANCHEZ,
CRISTIAN SILVA BAFALLUY,CONTEMPORA CORREDORES DE BOLSA DE PRODUCTOS S.A.,CRISTIAN,SILVA,BAFALLUY
MAXIMO SILVA BAFALLUY,CONTEMPORA CORREDORES DE BOLSA DE PRODUCTOS S.A.,MAXIMO,SILVA,BAFALLUY
JULIO DOMINGUEZ LONGUEIRA,CONTEMPORA CORREDORES DE BOLSA DE PRODUCTOS S.A.,JULIO,DOMINGUEZ,LONGUEIRA
GONZALO MARTINO GONZALEZ,CONTEMPORA CORREDORES DE BOLSA DE PRODUCTOS S.A.,GONZALO MARTINO,GONZALEZ,
GUSTAVO AHUMADA BERTHOUD,CONTEMPORA CORREDORES DE BOLSA DE PRODUCTOS S.A.,GUSTAVO,AHUMADA,BERTHOUD
ERNESTO SILVA MENDEZ,CONTEMPORA CORREDORES DE BOLSA DE PRODUCTOS S.A.,ERNESTO,SILVA,MENDEZ
FRANCISCO SILVA BAFALLUY,CONTEMPORA CORREDORES DE BOLSA DE PRODUCTOS S.A.,FRANCISCO,SILVA,BAFALLUY
LUIS ERNESTO SILVA BAFALLUY,CONTEMPORA CORREDORES DE BOLSA DE PRODUCTOS S.A.,LUIS ERNESTO,SILVA,BAFALLUY
LUIS ENRIQUE PEREZ ZAPATA,MOONK CORREDORES DE BOLSA DE PRODUCTOS SPA.,LUIS ENRIQUE,PEREZ,ZAPATA
RAIMUNDO VALENZUELA LANG,MOONK CORREDORES DE BOLSA DE PRODUCTOS SPA.,RAIMUNDO,VALENZUELA,LANG
MARCELO ADOLFO TIARA ABARCA,MOONK CORREDORES DE BOLSA DE PRODUCTOS SPA.,MARCELO ADOLFO,TIARA,ABARCA
MARIA DE LOS ANGELES URETA LYON,MOONK CORREDORES DE BOLSA DE PRODUCTOS SPA.,MARIA DE LOS ANGELES,URETA,LYON
JUAN EDUARDO COEYMANS AVARIA,MOONK CORREDORES DE BOLSA DE PRODUCTOS SPA.,JUAN EDUARDO,COEYMANS,AVARIA
FERNANDO FRANKE GARCIA,MOONK CORREDORES DE BOLSA DE PRODUCTOS SPA.,FERNANDO FRANKE,GARCIA,
EDUARDO GUERRERO NUNEZ,MOONK CORREDORES DE BOLSA DE PRODUCTOS SPA.,EDUARDO,GUERRERO,NUNEZ
PABLO IZQUIERDO WALKER,ADMINISTRADORA DE FONDOS DE PENSIONES MODELO S.A.,PABLO,IZQUIERDO,WALKER
JUAN ENRIQUE COEYMANS AVARIA,ADMINISTRADORA DE FONDOS DE PENSIONES MODELO S.A.,JUAN ENRIQUE,COEYMANS,AVARIA
GONZALO VELASCO NAVARRO,ADMINISTRADORA DE FONDOS DE PENSIONES MODELO S.A.,GONZALO,VELASCO,NAVARRO
FELIPE MATTA NAVARRO,ADMINISTRADORA DE FONDOS DE PENSIONES MODELO S.A.,FELIPE MATTA,NAVARRO,
RICARDO EDWARDS VIAL,ADMINISTRADORA DE FONDOS DE PENSIONES MODELO S.A.,RICARDO EDWARDS,VIAL,
JUAN PABLO COEYMANS MORENO,ADMINISTRADORA DE FONDOS DE PENSIONES MODELO S.A.,JUAN PABLO,COEYMANS,MORENO
GONZALO LIRA VALDEZ,ADMINISTRADORA DE FONDOS DE PENSIONES MODELO S.A.,Gonzalo,Lira,Valdez
GONZALO CRUZ ZABALA,ADMINISTRADORA DE FONDOS DE PENSIONES MODELO S.A.,Gonzalo,Cruz,Zabala
CARLOS CORREA RODRIGUEZ,ADMINISTRADORA DE FONDOS DE PENSIONES MODELO S.A.,CARLOS,CORREA,RODRIGUEZ
FELIPE BOETSCH FERNANDEZ,ADMINISTRADORA DE FONDOS DE PENSIONES MODELO S.A.,FELIPE,BOETSCH,FERNANDEZ
ALBERTO ERNESTO CHADWICK MOLINA,QUEST ADMINISTRADORA GENERAL DE FONDOS S.A.,ALBERTO ERNESTO,CHADWICK,MOLINA
JUAN ENRIQUE VILAJUANA RIGAU,QUEST ADMINISTRADORA GENERAL DE FONDOS S.A.,JUAN ENRIQUE,VILAJUANA,RIGAU
PEDRO PELLEGRINI RIPAMONTI,QUEST ADMINISTRADORA GENERAL DE FONDOS S.A.,PEDRO,PELLEGRINI,RIPAMONTI
ANDRES ZABALA HEVIA,QUEST ADMINISTRADORA GENERAL DE FONDOS S.A.,ANDRES,ZABALA,HEVIA
JOSE PABLO RUIZ FABRES,QUEST ADMINISTRADORA GENERAL DE FONDOS S.A.,JOSE PABLO,RUIZ,FABRES
ARTURO GANA BARROS,QUEST ADMINISTRADORA GENERAL DE FONDOS S.A.,ARTURO,GANA,BARROS
GERARDO ALAMOS SWINBURN,QUEST ADMINISTRADORA GENERAL DE FONDOS S.A.,GERARDO,ALAMOS,SWINBURN
ARTURO GANA DE LANDA,QUEST ADMINISTRADORA GENERAL DE FONDOS S.A.,ARTURO,GANA,DE LANDA
PABLO DIEGO FLEISCHMANN ECHENIQUE,QUEST ADMINISTRADORA GENERAL DE FONDOS S.A.,PABLO DIEGO,FLEISCHMANN,ECHENIQUE
FRANCO ENRIQUE MUNDI PANDOLFI,QUEST ADMINISTRADORA GENERAL DE FONDOS S.A.,FRANCO ENRIQUE,MUNDI,PANDOLFI
LUIS FELIPE OVALLE VALDES,QUEST ADMINISTRADORA GENERAL DE FONDOS S.A.,LUIS FELIPE,OVALLE,VALDES
FERNANDO SANCHEZ CHAIGNEAU,INDEPENDENCIA INTERNACIONAL ADMINISTRADORA GENERAL DE FONDOS S.A.,FERNANDO,SANCHEZ,CHAIGNEAU
HERTA MARIA MONICA SCHMUTZER VON OLDERSHAUSEN,INDEPENDENCIA INTERNACIONAL ADMINISTRADORA GENERAL DE FONDOS S.A.,HERTA MARIA MONICA,SCHMUTZER,VON OLDERSHAUSEN
FERNANDO BARROS TOCORNAL,INDEPENDENCIA INTERNACIONAL ADMINISTRADORA GENERAL DE FONDOS S.A.,FERNANDO,BARROS,TOCORNAL
FRANCISCO JAVIER HERRERA FERNANDEZ,INDEPENDENCIA INTERNACIONAL ADMINISTRADORA GENERAL DE FONDOS S.A.,FRANCISCO JAVIER,HERRERA,FERNANDEZ
MARIA MONICA BRAUN SALINAS,INDEPENDENCIA INTERNACIONAL ADMINISTRADORA GENERAL DE FONDOS S.A.,MARIA MONICA,BRAUN,SALINAS
CLAUDIO ZICHY ,INDEPENDENCIA INTERNACIONAL ADMINISTRADORA GENERAL DE FONDOS S.A.,CLAUDIO,ZICHY,
PEDRO ALBERTO PINEDA HERRERA,FINTUAL ADMINISTRADORA GENERAL DE FONDOS S.A.,PEDRO ALBERTO,PINEDA,HERRERA
IGNACIO BAIXAS MINGO,FINTUAL ADMINISTRADORA GENERAL DE FONDOS S.A.,IGNACIO,BAIXAS,MINGO
AGUSTIN FEUERHAKE LARRAIN,FINTUAL ADMINISTRADORA GENERAL DE FONDOS S.A.,AGUSTIN,FEUERHAKE,LARRAIN
JUAN IGNACIO DONOSO FIGUEROA,FINTUAL ADMINISTRADORA GENERAL DE FONDOS S.A.,JUAN IGNACIO,DONOSO,FIGUEROA
CRISTIAN RODRIGO PAVEZ MIRANDA,FINTUAL ADMINISTRADORA GENERAL DE FONDOS S.A.,CRISTIAN RODRIGO,PAVEZ,MIRANDA
JAIME PARTICIO BUNZLI ROJAS,FINTUAL ADMINISTRADORA GENERAL DE FONDOS S.A.,JAIME PARTICIO,BUNZLI,ROJAS
ANDRES SEGUNDO MARINKOVIC GOMEZ,FINTUAL ADMINISTRADORA GENERAL DE FONDOS S.A.,ANDRES SEGUNDO,MARINKOVIC,GOMEZ
JORGE ADOLFO LESSER GARCIAHUIDOBRO,ESSBIO S.A.,JORGE ADOLFO,LESSER,GARCIAHUIDOBRO
JUAN IGNACIO PAROT BECKER,ESSBIO S.A.,JUAN IGNACIO,PAROT,BECKER
JUAN PABLO ARMAS MAC DONALD,ESSBIO S.A.,JUAN PABLO,ARMAS,MAC DONALD
ALEJANDRO FERREIRO YAZIGI,ESSBIO S.A.,ALEJANDRO,FERREIRO,YAZIGI
STACEY LEANNE PURCELL ,ESSBIO S.A.,STACEY LEANNE,PURCELL,
MICHAEL ROBERT NIGGLI ,ESSBIO S.A.,MICHAEL ROBERT,NIGGLI,
STEPHEN BEST ,ESSBIO S.A.,STEPHEN,BEST,
OLGA MARGARITA BOTERO PELAEZ,ESSBIO S.A.,OLGA MARGARITA,BOTERO,PELAEZ
JOHN ELLITOT KAYE ,ESSBIO S.A.,JOHN ELLITOT,KAYE,
ASHLEY MUNROE ,ESSBIO S.A.,ASHLEY,MUNROE,
JOHN ELLIOT KAYE ,ESSBIO S.A.,JOHN ELLIOT,KAYE,
BARBARA MARIA ZVAN WATSON ,ESSBIO S.A.,BARBARA MARIA,ZVAN,WATSON
WILLIAM DALE BURGESS ,ESSBIO S.A.,WILLIAM DALE,BURGESS,
MARIA IGNACIA BENITEZ PEREIRA,ESSBIO S.A.,MARIA IGNACIA,BENITEZ,PEREIRA
JOHN ELLIOTT KAYE ,ESSBIO S.A.,JOHN ELLIOTT,KAYE,
JOHN ELIOTT KAYE ,ESSBIO S.A.,JOHN ELIOTT,KAYE,
MICHAEL R NIGGLI ,ESSBIO S.A.,MICHAEL R,NIGGLI,
OLIVIA PENELOPE STEEDMAN ,ESSBIO S.A.,OLIVIA PENELOPE,STEEDMAN,
JOSE LUIS NAVARRETE MEDINA,AZUL AZUL S.A.,JOSE LUIS,NAVARRETE,MEDINA
CARLOS ALBERTO HELLER SOLARI,AZUL AZUL S.A.,CARLOS ALBERTO,HELLER,SOLARI
JOSE YURASZECK TRONCOSO,AZUL AZUL S.A.,JOSE YURASZECK,TRONCOSO,
FEDERICO VALDES LAFONTAINE,AZUL AZUL S.A.,FEDERICO,VALDES,LAFONTAINE
DANIEL SCHAPIRA ESKENAZI,AZUL AZUL S.A.,DANIEL,SCHAPIRA,ESKENAZI
MARIO CONCA ROSENDE,AZUL AZUL S.A.,MARIO,CONCA,ROSENDE
ANDRES WEINTRAUB POHORILLE,AZUL AZUL S.A.,ANDRES,WEINTRAUB,POHORILLE
GONZALO ROJAS VILDOSOLA,AZUL AZUL S.A.,Gonzalo,Rojas,Vildosola
ARTURO EUGENIO MIRANDA EGUILUZ,AZUL AZUL S.A.,ARTURO EUGENIO,MIRANDA,EGUILUZ
RODRIGO GOLDBERG MIERZEJEWSKI,AZUL AZUL S.A.,RODRIGO,GOLDBERG,MIERZEJEWSKI
CAROLINA COPPO DIEZ,AZUL AZUL S.A.,CAROLINA,COPPO,DIEZ
CRISTIAN AUBERT FERRER,AZUL AZUL S.A.,CRISTIAN,AUBERT,FERRER
SERGIO VARGAS BUSCALIA,AZUL AZUL S.A.,SERGIO,VARGAS,BUSCALIA
EDUARDO SCHAPIRA PETERS,AZUL AZUL S.A.,EDUARDO,SCHAPIRA,PETERS
JORGE BURGOS VARELA,AZUL AZUL S.A.,JORGE,BURGOS,VARELA
MARCOS KAPLUM PIMSTEIN,AZUL AZUL S.A.,MARCOS,KAPLUM,PIMSTEIN
PEDRO AGUSTIN HELLER ANCAROLA,AZUL AZUL S.A.,PEDRO AGUSTIN,HELLER,ANCAROLA
ROBERTO NAHUM ANUCH,AZUL AZUL S.A.,ROBERTO NAHUM,ANUCH,
PATRICIO MARDONES DIAZ,AZUL AZUL S.A.,PATRICIO,MARDONES,DIAZ
PETER HILLER HIRSCHKRON,AZUL AZUL S.A.,PETER,HILLER,HIRSCHKRON
ALBERTO QUINTANO RALPH,AZUL AZUL S.A.,ALBERTO,QUINTANO,RALPH
ANDRES SCHAPIRA PETERS,AZUL AZUL S.A.,ANDRES,SCHAPIRA,PETERS
PABLO IZQUIERDO WALKER,AZUL AZUL S.A.,PABLO,IZQUIERDO,WALKER
SERGIO WEINSTEIN ARANDA,AZUL AZUL S.A.,SERGIO,WEINSTEIN,ARANDA
CARLOS ALBERTO DELANO ABBOTT,AZUL AZUL S.A.,CARLOS ALBERTO,DELANO,ABBOTT
CRISTOBAL YURASZECK KREBS,AZUL AZUL S.A.,CRISTOBAL,YURASZECK,KREBS
VICTOR LUIS PEREZ VERA,AZUL AZUL S.A.,VICTOR LUIS,PEREZ,VERA
LUIS AYALA RIQUELME,AZUL AZUL S.A.,LUIS,AYALA,RIQUELME
EDMUNDO HERMOSILLA HERMOSILLA,AZUL AZUL S.A.,EDMUNDO,HERMOSILLA,HERMOSILLA
EDUARDO LARRABE LUCERO,RUTA DEL LOA SOCIEDAD CONCESIONARIA S.A.,EDUARDO,LARRABE,LUCERO
ANDRES CONTRERAS HERRERA,RUTA DEL LOA SOCIEDAD CONCESIONARIA S.A.,ANDRES,CONTRERAS,HERRERA
ENRIQUE ZAMORANO OYARZUN,RUTA DEL LOA SOCIEDAD CONCESIONARIA S.A.,ENRIQUE,ZAMORANO,OYARZUN
MIGUEL CARRASCO RODRIGUEZ,RUTA DEL LOA SOCIEDAD CONCESIONARIA S.A.,MIGUEL,CARRASCO,RODRIGUEZ
DANIEL ISAZA BONNET,RUTA DEL LOA SOCIEDAD CONCESIONARIA S.A.,DANIEL,ISAZA,BONNET
JORGE IVAN LOPEZ BETANCUR,RUTA DEL LOA SOCIEDAD CONCESIONARIA S.A.,JORGE IVAN,LOPEZ,BETANCUR
RODRIGO GAZITUA ZAVALA,NUEVO CAPITAL CORREDORES DE BOLSA DE PRODUCTOS SPA.,RODRIGO,GAZITUA,ZAVALA
RODRIGO LOPEZ MUSA,NUEVO CAPITAL CORREDORES DE BOLSA DE PRODUCTOS SPA.,RODRIGO,LOPEZ,MUSA
RODRIGO ANDRES PINILLA ASCENCIO,NUEVO CAPITAL CORREDORES DE BOLSA DE PRODUCTOS SPA.,RODRIGO ANDRES,PINILLA,ASCENCIO
PABLO ANDRES JAQUE SAHR,SINGULAR ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.,PABLO ANDRES,JAQUE,SAHR
JAIME ARTURO LOAYZA O CONNOR,SINGULAR ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.,JAIME ARTURO,LOAYZA,O CONNOR
JAVIER ANDRES DIAZ VELASQUEZ,SINGULAR ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.,JAVIER ANDRES,DIAZ,VELASQUEZ
DIEGO ADOLFO CHOMALI KATTAN,SINGULAR ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.,DIEGO ADOLFO,CHOMALI,KATTAN
MAGDALENA SOFIA BERNAT DOMINGUEZ,SINGULAR ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.,MAGDALENA SOFIA,BERNAT,DOMINGUEZ
JOSE ELIAS ABOID,VANTRUST CAPITAL ADMINISTRADORA GENERAL DE FONDOS S.A.,JOSE ELIAS,ABOID,
GERARDO SABINO LAHSEN ABOID,VANTRUST CAPITAL ADMINISTRADORA GENERAL DE FONDOS S.A.,GERARDO SABINO,LAHSEN,ABOID
GERMAN BARBOSA REBOLLEDO,VANTRUST CAPITAL ADMINISTRADORA GENERAL DE FONDOS S.A.,GERMAN,BARBOSA,REBOLLEDO
ANDRES RENE SAENZ MC MANUS,VANTRUST CAPITAL ADMINISTRADORA GENERAL DE FONDOS S.A.,ANDRES RENE,SAENZ,MC MANUS
ALEJANDRO ANTONIO SALOMON GOMEZ SABA,VANTRUST CAPITAL ADMINISTRADORA GENERAL DE FONDOS S.A.,ALEJANDRO ANTONIO,SALOMON,GOMEZ SABA
PABLO EUGENIO DE LA CERDA MERINO,VANTRUST CAPITAL ADMINISTRADORA GENERAL DE FONDOS S.A.,PABLO EUGENIO,DE LA CERDA,MERINO
JAIME ARTURO LOAYZA O CONNOR,VANTRUST CAPITAL ADMINISTRADORA GENERAL DE FONDOS S.A.,JAIME ARTURO,LOAYZA,O CONNOR
RAPHAEL BERGOEING VELA,VANTRUST CAPITAL ADMINISTRADORA GENERAL DE FONDOS S.A.,RAPHAEL,BERGOEING,VELA
JAVIER BARRENECHEA PARRA,BANCO INTERNACIONAL ADMINISTRADORA GENERAL DE FONDOS S.A.,JAVIER,BARRENECHEA,PARRA
CHRISTIAN JORGE MISLE JANO,BANCO INTERNACIONAL ADMINISTRADORA GENERAL DE FONDOS S.A.,CHRISTIAN JORGE,MISLE,JANO
JOSE HERNAN CERDA JARAMILLO,BANCO INTERNACIONAL ADMINISTRADORA GENERAL DE FONDOS S.A.,JOSE HERNAN,CERDA,JARAMILLO
EUGENIO ANDRES FERNANDEZ CUELLAR,BANCO INTERNACIONAL ADMINISTRADORA GENERAL DE FONDOS S.A.,EUGENIO ANDRES,FERNANDEZ,CUELLAR
EZEQUIEL JOSE ITURAIN CAMPANILE,BANCO INTERNACIONAL ADMINISTRADORA GENERAL DE FONDOS S.A.,EZEQUIEL JOSE,ITURAIN,CAMPANILE
SEBASTIAN ENRIQUE SALGO DURAN,BANCO INTERNACIONAL ADMINISTRADORA GENERAL DE FONDOS S.A.,SEBASTIAN ENRIQUE,SALGO,DURAN
AUGUSTO RODRIGUEZ LIRA,INMOBILIARIA APOQUINDO S.A.,AUGUSTO,RODRIGUEZ,LIRA
MAXIMILIANO VIAL VALENZUELA,INMOBILIARIA APOQUINDO S.A.,MAXIMILIANO,VIAL,VALENZUELA
CARLOS SAIEH LARRONDE,INMOBILIARIA APOQUINDO S.A.,CARLOS,SAIEH,LARRONDE
ANDRES EDUARDO ECHEVERRIA SALAS,INFRAESTRUCTURA ALPHA S.A.,ANDRES EDUARDO,ECHEVERRIA,SALAS
JORGE ANDRES PRIETO IZQUIERDO,INFRAESTRUCTURA ALPHA S.A.,JORGE ANDRES,PRIETO,IZQUIERDO
EDUARDO BEFFERMANN CORDOVA,INFRAESTRUCTURA ALPHA S.A.,EDUARDO,BEFFERMANN,CORDOVA
CARMEN VICUNA VERGARA,INFRAESTRUCTURA ALPHA S.A.,CARMEN,VICUNA,VERGARA
CLEMENTE OCHAGAVIA BALBONTIN,INFRAESTRUCTURA ALPHA S.A.,CLEMENTE,OCHAGAVIA,BALBONTIN
BERNARDO DOMINICHETTI HERRERA,INFRAESTRUCTURA ALPHA S.A.,BERNARDO,DOMINICHETTI,HERRERA
FELIPE IGNACIO MAUL FONSECA,LINK CAPITAL PARTNERS ADMINISTRADORA GENERAL DE FONDOS S.A.,FELIPE IGNACIO,MAUL,FONSECA
MATIAS FRANCISCO ZEGERS RUIZTAGLE,LINK CAPITAL PARTNERS ADMINISTRADORA GENERAL DE FONDOS S.A.,MATIAS FRANCISCO,ZEGERS,RUIZTAGLE
FERNANDO EDWARDS ALCALDE,LINK CAPITAL PARTNERS ADMINISTRADORA GENERAL DE FONDOS S.A.,FERNANDO EDWARDS,ALCALDE,
GONZALO COVARRUBIAS FERNANDEZ,LINK CAPITAL PARTNERS ADMINISTRADORA GENERAL DE FONDOS S.A.,Gonzalo,Covarrubias,Fernandez
SERGIO ISMAEL MERINO MORALES,LINK CAPITAL PARTNERS ADMINISTRADORA GENERAL DE FONDOS S.A.,SERGIO ISMAEL,MERINO,MORALES
JUAN IGNACIO MONTES LABARCA,LINK CAPITAL PARTNERS ADMINISTRADORA GENERAL DE FONDOS S.A.,JUAN IGNACIO,MONTES,LABARCA
FRANCISCO JAVIER VIAL MARIN,LINK CAPITAL PARTNERS ADMINISTRADORA GENERAL DE FONDOS S.A.,FRANCISCO JAVIER,VIAL,MARIN
JOSE MIGUEL BULNES VALDES,VOLCOM SECURITIZADORA S.A.,JOSE MIGUEL,BULNES,VALDES
